WONum,Created,Ctr,Units
WO-PS-18-003498,11/12/2018 1:15PM,302,15
WO-PS-18-003523,11/12/2018 2:37PM,204,15
WO-PS-18-003548,11/12/2018 8:08AM,400,15
WO-PS-18-003554,11/13/2018 8:52AM,600,15
WO-PS-18-003597,11/12/2018 2:03PM,303,15
WO-PS-18-003600,11/13/2018 2:22PM,507,25
WO-PS-18-003626,11/12/2018 6:54AM,200,15
WO-PS-18-003627,11/12/2018 7:07AM,600,15
WO-PS-18-003638,11/13/2018 7:31AM,605,15
WO-PS-18-003639,11/13/2018 7:32AM,400,15
WO-PS-18-003667,11/13/2018 12:21PM,210,25
WO-PS-18-003681,11/12/2018 1:14PM,307,5
WO-PS-18-003683,11/13/2018 1:47PM,504,15
WO-PS-18-003703,11/13/2018 3:49PM,509,25
WO-PS-18-003716,11/13/2018 7:39AM,400,15
WO-PS-18-003725,11/13/2018 8:20AM,200,25
WO-PS-18-003758,11/12/2018 2:24PM,304,15
WO-PS-18-003765,11/13/2018 4:54PM,202,15
WO-PS-18-003782,11/12/2018 7:43AM,400,15
WO-PS-18-003787,11/13/2018 8:11AM,200,15
WO-PS-18-003798,11/12/2018 10:44AM,203,15
WO-PS-18-003799,11/12/2018 10:45AM,202,5
WO-PS-18-003817,11/13/2018 1:22PM,309,15
WO-PS-18-003832,11/12/2018 6:53AM,200,15
WO-PS-18-003847,11/12/2018 7:55AM,400,15
WO-PS-18-003858,11/13/2018 10:28AM,203,15
WO-PS-18-003867,11/12/2018 12:40PM,300,15
WO-PS-18-003884,11/12/2018 1:49PM,506,15
WO-PS-18-003916,11/13/2018 6:34AM,204,15
WO-PS-18-003945,11/13/2018 9:34AM,600,15
WO-PS-18-003980,11/13/2018 1:34PM,309,5
WO-PS-18-003982,11/13/2018 1:39PM,506,15
WO-PS-18-003994,11/12/2018 2:14PM,503,15
WO-PS-18-004017,11/12/2018 7:48AM,200,15
WO-PS-18-004074,11/13/2018 2:09PM,306,15
WO-PS-18-004125,11/13/2018 1:48PM,503,15
WO-PS-18-004129,11/13/2018 1:49PM,304,15
WO-PS-18-004149,11/12/2018 6:46AM,200,15
WO-PS-18-004154,11/13/2018 6:52AM,600,25
WO-PS-18-004183,11/12/2018 9:47AM,209,15
WO-PS-18-004202,11/13/2018 1:31PM,308,15
WO-PS-18-004275,11/13/2018 10:31AM,101,15
WO-PS-18-004303,11/13/2018 1:42PM,305,15
WO-PS-18-004307,11/13/2018 1:47PM,504,15
WO-PS-18-004355,11/12/2018 8:14AM,200,25
WO-PS-18-004358,11/12/2018 8:35AM,600,15
WO-PS-18-004359,11/13/2018 8:38AM,200,25
WO-PS-18-004384,11/12/2018 11:30AM,205,15
WO-PS-18-004386,11/12/2018 12:38PM,207,15
WO-PS-18-004436,11/12/2018 8:19AM,600,15
WO-PS-18-004448,11/13/2018 8:36AM,600,15
WO-PS-18-004465,11/12/2018 11:44AM,503,15
WO-PS-18-004540,11/13/2018 6:35AM,200,15
WO-PS-18-004605,11/13/2018 7:08AM,200,25
WO-PS-18-004613,11/12/2018 7:22AM,400,15
WO-PS-18-004625,11/13/2018 8:19AM,600,15
WO-PS-18-004706,11/13/2018 7:56AM,600,15
WO-PS-18-004712,11/12/2018 8:06AM,200,25
WO-PS-18-004750,11/13/2018 12:41PM,504,15
WO-PS-18-004762,11/13/2018 2:12PM,202,25
WO-PS-18-004763,11/12/2018 2:19PM,501,5
WO-PS-18-004824,11/12/2018 12:44PM,101,15
WO-PS-18-004831,11/13/2018 1:32PM,305,15
WO-PS-18-004876,11/13/2018 7:47AM,400,15
WO-PS-18-004885,11/12/2018 8:35AM,104,5
WO-PS-18-004886,11/13/2018 8:38AM,600,15
WO-PS-18-004902,11/13/2018 9:22AM,600,15
WO-PS-18-004939,11/12/2018 3:22PM,201,25
WO-PS-18-004986,11/13/2018 11:06AM,210,15
WO-PS-18-005065,11/12/2018 8:42AM,400,15
WO-PS-18-005074,11/13/2018 8:50AM,502,15
WO-PS-18-005123,11/12/2018 1:39PM,210,15
WO-PS-18-005157,11/13/2018 7:54AM,400,15
WO-PS-18-005357,11/13/2018 9:22AM,400,15
WO-PS-18-005407,11/13/2018 7:45AM,400,15
WO-PS-18-005461,11/12/2018 1:33PM,201,15
WO-PS-18-005462,11/13/2018 1:36PM,506,15
WO-PS-18-005506,11/12/2018 7:45AM,400,15
WO-PS-18-005510,11/13/2018 7:53AM,607,15
WO-PS-18-005614,11/12/2018 8:35AM,400,15
WO-PS-18-005737,11/13/2018 8:46AM,600,15
WO-PS-18-005743,11/12/2018 9:09AM,400,15
WO-PS-18-005777,11/12/2018 3:01PM,202,15
WO-PS-18-005803,11/13/2018 7:52AM,400,15
WO-PS-18-005850,11/13/2018 1:00PM,310,15
WO-PS-18-005865,11/12/2018 2:18PM,309,25
WO-PS-18-005901,11/12/2018 7:41AM,400,15
WO-PS-18-005908,11/13/2018 8:17AM,608,15
WO-PS-18-005943,11/12/2018 12:13PM,210,15
WO-PS-18-006002,11/12/2018 7:53AM,400,15
WO-PS-18-006033,11/13/2018 10:40AM,508,5
WO-PS-18-006132,11/13/2018 10:58AM,608,15
WO-PS-18-006187,11/12/2018 7:52AM,400,15
WO-PS-18-006195,11/13/2018 8:22AM,600,15
WO-PS-18-006201,11/12/2018 8:40AM,601,15
WO-PS-18-006256,11/13/2018 7:28AM,208,25
WO-PS-18-006283,11/13/2018 8:31AM,400,15
WO-PS-18-006300,11/12/2018 10:04AM,101,25
WO-PS-18-006341,11/13/2018 7:15AM,600,15
WO-PS-18-006363,11/12/2018 7:57AM,400,15
WO-PS-18-006380,11/12/2018 10:16AM,206,15
